-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  1.4693   Longitude 103.7564 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,25.3,5.55,3.27
2025,1,1,1,25.16,5.13,3.51
2025,1,1,2,25.06,5.27,3.74
2025,1,1,3,24.95,4.54,3.71
2025,1,1,4,24.87,4.14,3.88
2025,1,1,5,24.85,3.53,3.81
2025,1,1,6,25.1,4.9,3.62
2025,1,1,7,25.96,21.64,3.45
2025,1,1,8,26.51,18.02,3.33
2025,1,1,9,27.14,13.09,3.56
2025,1,1,10,27.71,16.51,3.49
2025,1,1,11,28.19,20.7,3.09
2025,1,1,12,28.48,19.0,2.65
2025,1,1,13,28.64,19.73,2.19
2025,1,1,14,28.79,17.32,1.97
2025,1,1,15,28.77,13.33,2.08
2025,1,1,16,28.37,10.95,2.54
2025,1,1,17,27.54,6.11,3.07
2025,1,1,18,26.75,5.6,3.46
2025,1,1,19,26.4,6.64,3.9
2025,1,1,20,26.11,7.6,4.38
2025,1,1,21,25.86,7.97,4.66
2025,1,1,22,25.61,7.4,4.57
2025,1,1,23,25.4,9.38,4.3
2025,1,2,0,25.2,13.48,4.06
2025,1,2,1,25.03,12.0,3.8
2025,1,2,2,24.89,13.24,3.66
2025,1,2,3,24.78,14.89,3.7
2025,1,2,4,24.71,17.12,3.87
2025,1,2,5,24.67,22.39,4.03
2025,1,2,6,25.07,19.89,4.16
2025,1,2,7,26.04,31.35,3.83
2025,1,2,8,26.9,27.07,4.0
2025,1,2,9,27.68,22.34,4.56
2025,1,2,10,28.29,19.11,4.73
2025,1,2,11,28.88,13.4,4.63
2025,1,2,12,29.3,9.75,4.32
2025,1,2,13,29.46,10.25,3.96
2025,1,2,14,29.51,14.07,3.53
2025,1,2,15,29.45,24.66,3.19
2025,1,2,16,29.07,34.79,3.06
2025,1,2,17,28.31,37.6,3.27
2025,1,2,18,27.39,42.25,3.6
2025,1,2,19,26.96,46.49,3.78
2025,1,2,20,26.62,41.02,3.93
2025,1,2,21,26.33,41.33,4.22
2025,1,2,22,26.06,41.67,4.54
2025,1,2,23,25.83,41.47,4.82
2025,1,3,0,25.66,49.64,5.11
2025,1,3,1,25.49,47.71,5.21
2025,1,3,2,25.32,53.68,5.21
2025,1,3,3,25.18,56.98,5.1
2025,1,3,4,25.08,58.46,4.97
2025,1,3,5,25.03,54.63,4.82
2025,1,3,6,25.33,54.14,4.59
2025,1,3,7,26.21,74.03,4.04
2025,1,3,8,27.09,64.43,4.26
2025,1,3,9,27.88,57.06,4.53
2025,1,3,10,28.6,59.86,4.65
2025,1,3,11,29.23,58.5,4.63
2025,1,3,12,29.66,58.13,4.49
2025,1,3,13,29.82,55.27,4.25
2025,1,3,14,29.79,59.12,3.99
2025,1,3,15,29.52,66.04,3.9
2025,1,3,16,28.93,70.96,4.22
2025,1,3,17,28.01,78.55,4.64
2025,1,3,18,27.01,88.21,5.16
2025,1,3,19,26.5,97.52,5.45
2025,1,3,20,26.1,104.73,5.47
2025,1,3,21,25.81,116.67,5.32
2025,1,3,22,25.58,129.73,5.15
2025,1,3,23,25.41,169.16,4.97
2025,1,4,0,25.27,215.96,4.98
2025,1,4,1,25.22,285.34,5.02
2025,1,4,2,25.17,367.49,5.05
2025,1,4,3,25.1,394.68,4.94
2025,1,4,4,25.02,369.31,4.81
2025,1,4,5,24.99,292.51,4.85
2025,1,4,6,25.3,207.23,4.96
2025,1,4,7,26.07,41.92,4.68
2025,1,4,8,26.73,35.02,4.37
2025,1,4,9,27.42,30.14,4.54
2025,1,4,10,28.02,24.16,4.67
2025,1,4,11,28.5,27.7,4.85
2025,1,4,12,28.79,23.94,5.08
2025,1,4,13,28.78,21.62,5.29
2025,1,4,14,28.6,14.82,5.46
2025,1,4,15,28.27,9.42,5.52
2025,1,4,16,27.77,7.93,5.44
2025,1,4,17,27.09,9.55,5.3
2025,1,4,18,26.4,9.01,5.54
2025,1,4,19,26.14,6.3,5.7
2025,1,4,20,25.97,4.74,5.77
2025,1,4,21,25.84,3.11,5.75
