-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  5.9412   Longitude 100.6473 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 167.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,23.41,0.0,3.24
2025,1,1,1,23.27,0.0,3.42
2025,1,1,2,23.14,0.0,3.43
2025,1,1,3,23.0,0.0,3.39
2025,1,1,4,22.88,0.0,3.25
2025,1,1,5,22.81,0.0,3.04
2025,1,1,6,22.8,0.0,2.92
2025,1,1,7,24.07,0.0,2.66
2025,1,1,8,25.81,0.0,2.72
2025,1,1,9,27.48,0.0,3.07
2025,1,1,10,28.79,0.0,3.03
2025,1,1,11,29.72,0.0,2.84
2025,1,1,12,30.28,0.0,2.65
2025,1,1,13,30.53,0.01,2.38
2025,1,1,14,30.51,0.0,2.11
2025,1,1,15,30.17,0.02,2.01
2025,1,1,16,29.49,0.02,2.26
2025,1,1,17,28.44,0.01,2.92
2025,1,1,18,26.99,0.0,3.72
2025,1,1,19,26.23,0.01,4.07
2025,1,1,20,25.6,0.02,3.76
2025,1,1,21,25.01,0.05,3.69
2025,1,1,22,24.58,0.02,3.74
2025,1,1,23,24.25,0.03,3.68
2025,1,2,0,23.97,0.0,3.67
2025,1,2,1,23.72,0.0,3.58
2025,1,2,2,23.44,0.03,3.53
2025,1,2,3,23.25,0.15,3.64
2025,1,2,4,23.16,0.13,3.62
2025,1,2,5,23.09,0.13,3.67
2025,1,2,6,23.1,0.21,3.66
2025,1,2,7,24.44,0.23,3.28
2025,1,2,8,26.2,0.22,3.19
2025,1,2,9,27.72,0.15,2.97
2025,1,2,10,29.04,0.15,2.3
2025,1,2,11,30.14,0.09,1.6
2025,1,2,12,30.69,0.09,1.11
2025,1,2,13,30.94,0.07,0.97
2025,1,2,14,30.93,0.09,1.11
2025,1,2,15,30.61,0.15,1.41
2025,1,2,16,29.98,0.17,1.86
2025,1,2,17,28.95,0.17,2.51
2025,1,2,18,27.53,0.15,3.5
2025,1,2,19,26.71,0.08,4.23
2025,1,2,20,26.14,0.07,4.19
2025,1,2,21,25.55,0.07,3.99
2025,1,2,22,25.14,0.07,4.26
2025,1,2,23,24.87,0.1,4.22
2025,1,3,0,24.63,0.11,4.09
2025,1,3,1,24.42,0.13,3.91
2025,1,3,2,24.22,0.2,3.85
2025,1,3,3,23.98,0.22,3.79
2025,1,3,4,23.75,0.24,3.72
2025,1,3,5,23.59,0.24,3.6
2025,1,3,6,23.55,0.18,3.44
2025,1,3,7,24.65,0.63,2.96
2025,1,3,8,26.34,0.4,3.12
2025,1,3,9,27.97,0.24,3.2
2025,1,3,10,29.24,0.43,3.08
2025,1,3,11,30.2,0.95,2.96
2025,1,3,12,30.75,0.96,2.91
2025,1,3,13,30.9,1.36,2.97
2025,1,3,14,30.76,1.49,3.12
2025,1,3,15,30.16,1.75,3.39
2025,1,3,16,29.37,1.93,3.7
2025,1,3,17,28.2,2.03,4.03
2025,1,3,18,26.78,1.51,4.16
2025,1,3,19,25.87,0.73,4.34
2025,1,3,20,25.28,0.44,4.25
2025,1,3,21,24.91,0.29,4.03
2025,1,3,22,24.63,0.29,3.79
2025,1,3,23,24.36,0.41,3.71
2025,1,4,0,24.07,0.54,3.5
2025,1,4,1,23.82,0.69,3.45
2025,1,4,2,23.64,0.82,3.65
2025,1,4,3,23.46,0.82,3.92
2025,1,4,4,23.34,0.72,3.88
2025,1,4,5,23.21,0.56,3.6
2025,1,4,6,23.19,0.48,3.4
2025,1,4,7,24.35,4.83,2.78
2025,1,4,8,25.97,2.96,2.88
2025,1,4,9,27.71,2.52,3.11
2025,1,4,10,29.15,1.98,2.65
