-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  5.2961   Longitude 102.0316 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 420.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,21.12,0.0,2.26
2025,1,1,1,20.86,0.0,2.35
2025,1,1,2,20.61,0.0,2.52
2025,1,1,3,20.43,0.0,2.66
2025,1,1,4,20.32,0.01,2.66
2025,1,1,5,20.27,0.0,2.51
2025,1,1,6,20.59,0.0,2.33
2025,1,1,7,22.24,0.26,2.13
2025,1,1,8,23.58,0.46,2.63
2025,1,1,9,24.79,0.64,2.88
2025,1,1,10,26.12,0.59,2.84
2025,1,1,11,27.23,0.48,2.73
2025,1,1,12,27.88,0.66,2.65
2025,1,1,13,28.03,1.04,2.54
2025,1,1,14,27.87,1.18,2.56
2025,1,1,15,27.42,1.72,2.95
2025,1,1,16,26.3,2.43,3.38
2025,1,1,17,24.97,0.97,3.74
2025,1,1,18,23.58,0.4,3.97
2025,1,1,19,23.04,0.22,3.93
2025,1,1,20,22.6,0.22,3.26
2025,1,1,21,22.29,0.26,2.62
2025,1,1,22,22.05,0.31,2.24
2025,1,1,23,21.9,0.4,2.11
2025,1,2,0,21.87,0.66,2.05
2025,1,2,1,21.85,0.68,2.02
2025,1,2,2,21.79,0.67,2.05
2025,1,2,3,21.71,0.58,2.11
2025,1,2,4,21.69,0.34,1.93
2025,1,2,5,21.71,0.26,1.64
2025,1,2,6,21.81,0.18,1.53
2025,1,2,7,23.08,0.01,1.92
2025,1,2,8,24.23,0.01,2.4
2025,1,2,9,25.32,0.01,2.41
2025,1,2,10,26.41,0.02,2.11
2025,1,2,11,27.31,0.02,1.84
2025,1,2,12,28.02,0.03,1.67
2025,1,2,13,28.49,0.05,1.52
2025,1,2,14,28.59,0.09,1.56
2025,1,2,15,28.2,0.35,1.89
2025,1,2,16,27.26,0.1,2.52
2025,1,2,17,25.9,0.05,3.2
2025,1,2,18,24.35,0.03,3.56
2025,1,2,19,23.77,0.03,3.46
2025,1,2,20,23.31,0.02,3.38
2025,1,2,21,22.95,0.02,3.25
2025,1,2,22,22.62,0.02,3.01
2025,1,2,23,22.37,0.05,3.13
2025,1,3,0,22.14,0.08,3.18
2025,1,3,1,21.97,0.04,3.05
2025,1,3,2,21.9,0.03,2.82
2025,1,3,3,21.75,0.02,2.64
2025,1,3,4,21.64,0.02,2.48
2025,1,3,5,21.57,0.01,2.26
2025,1,3,6,21.79,0.01,2.08
2025,1,3,7,23.38,2.66,2.12
2025,1,3,8,24.73,1.74,2.46
2025,1,3,9,25.89,0.93,2.86
2025,1,3,10,26.94,0.38,3.11
2025,1,3,11,27.71,0.21,3.23
2025,1,3,12,28.17,0.27,3.45
