-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  3.1707   Longitude 101.691 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 231.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,23.46,0.0,2.54
2025,1,1,1,23.31,0.0,2.1
2025,1,1,2,23.23,0.0,1.57
2025,1,1,3,23.07,0.0,1.28
2025,1,1,4,22.9,0.0,1.27
2025,1,1,5,22.63,0.0,1.64
2025,1,1,6,22.62,0.0,2.16
2025,1,1,7,23.87,0.06,2.15
2025,1,1,8,25.34,0.1,2.28
2025,1,1,9,26.64,0.12,2.39
2025,1,1,10,27.69,0.13,2.23
2025,1,1,11,28.46,0.2,2.0
2025,1,1,12,28.88,0.28,1.91
2025,1,1,13,29.12,0.3,2.15
2025,1,1,14,29.0,0.38,2.54
2025,1,1,15,28.51,0.43,2.61
2025,1,1,16,27.82,0.45,2.53
2025,1,1,17,26.83,0.48,2.35
2025,1,1,18,25.67,0.51,1.97
2025,1,1,19,25.61,0.44,1.34
2025,1,1,20,25.74,0.33,0.73
2025,1,1,21,25.61,0.29,0.53
2025,1,1,22,25.14,0.26,0.79
2025,1,1,23,24.63,0.2,1.07
2025,1,2,0,24.21,0.16,1.33
2025,1,2,1,23.86,0.14,1.52
2025,1,2,2,23.56,0.13,1.7
2025,1,2,3,23.24,0.1,1.95
2025,1,2,4,22.93,0.08,2.25
2025,1,2,5,22.69,0.06,2.5
2025,1,2,6,22.79,0.05,2.64
2025,1,2,7,24.04,0.04,2.32
2025,1,2,8,25.2,0.01,2.34
2025,1,2,9,26.5,0.01,2.6
2025,1,2,10,27.54,0.01,2.39
2025,1,2,11,28.47,0.01,1.88
2025,1,2,12,29.19,0.01,1.4
2025,1,2,13,29.6,0.01,1.07
2025,1,2,14,29.7,0.02,1.03
2025,1,2,15,29.37,0.1,1.31
2025,1,2,16,29.4,0.28,1.33
2025,1,2,17,28.54,0.07,1.2
2025,1,2,18,27.25,0.01,1.29
2025,1,2,19,26.74,0.01,1.32
2025,1,2,20,26.44,0.01,1.16
2025,1,2,21,26.28,0.03,0.84
2025,1,2,22,25.96,0.05,0.62
2025,1,2,23,25.5,0.07,0.76
2025,1,3,0,24.75,0.09,1.3
2025,1,3,1,24.0,0.12,1.79
2025,1,3,2,23.42,0.13,2.15
2025,1,3,3,22.99,0.15,2.37
2025,1,3,4,22.68,0.16,2.5
2025,1,3,5,22.47,0.16,2.59
2025,1,3,6,22.68,0.15,2.55
2025,1,3,7,23.99,9.06,1.9
2025,1,3,8,25.7,10.86,1.6
2025,1,3,9,27.46,15.71,1.39
2025,1,3,10,28.86,17.22,1.09
2025,1,3,11,29.6,18.67,0.97
2025,1,3,12,30.13,18.41,1.11
2025,1,3,13,29.9,24.34,1.64
2025,1,3,14,29.54,28.02,2.3
2025,1,3,15,28.82,33.26,2.74
2025,1,3,16,27.98,39.81,2.76
2025,1,3,17,26.92,39.27,2.57
2025,1,3,18,25.9,44.56,2.29
2025,1,3,19,25.57,49.44,2.13
2025,1,3,20,25.33,55.37,2.38
2025,1,3,21,25.12,58.52,2.65
2025,1,3,22,24.9,64.72,2.61
2025,1,3,23,24.67,62.58,2.16
2025,1,4,0,24.51,58.96,1.74
2025,1,4,1,24.32,53.68,2.05
2025,1,4,2,24.09,50.94,2.51
2025,1,4,3,23.78,50.16,2.9
2025,1,4,4,23.5,41.14,2.94
2025,1,4,5,23.23,31.38,2.69
2025,1,4,6,23.17,20.37,2.71
2025,1,4,7,24.13,8.6,2.87
2025,1,4,8,25.33,2.25,3.23
2025,1,4,9,26.78,0.68,3.49
2025,1,4,10,27.88,0.69,3.23
2025,1,4,11,28.64,1.54,2.64
2025,1,4,12,29.01,5.38,1.98
2025,1,4,13,29.13,8.53,1.48
2025,1,4,14,29.01,12.03,1.25
2025,1,4,15,29.02,12.45,1.23
2025,1,4,16,28.74,12.39,1.53
2025,1,4,17,27.18,7.67,2.03
2025,1,4,18,25.51,6.91,2.76
2025,1,4,19,24.83,6.08,3.25
2025,1,4,20,24.36,7.02,3.57
2025,1,4,21,24.01,7.29,3.76
2025,1,4,22,23.83,7.26,3.79
2025,1,4,23,23.75,6.37,3.92
2025,1,5,0,23.65,6.25,4.06
2025,1,5,1,23.52,4.61,4.16
2025,1,5,2,23.36,4.06,4.57
2025,1,5,3,23.17,3.12,4.83
2025,1,5,4,22.98,2.17,4.72
2025,1,5,5,22.79,1.58,4.53
2025,1,5,6,22.85,1.21,4.37
2025,1,5,7,23.8,1.33,3.93
2025,1,5,8,25.01,1.32,4.29
2025,1,5,9,26.31,2.29,4.45
2025,1,5,10,27.36,6.37,4.2
2025,1,5,11,28.18,12.99,3.82
2025,1,5,12,28.65,19.51,3.43
2025,1,5,13,28.86,21.77,2.89
2025,1,5,14,28.91,24.46,2.43
2025,1,5,15,28.92,24.35,2.38
2025,1,5,16,28.22,25.22,2.66
2025,1,5,17,27.0,22.34,2.99
2025,1,5,18,25.69,20.68,3.65
2025,1,5,19,25.24,18.27,4.6
2025,1,5,20,24.92,12.18,5.11
2025,1,5,21,24.49,7.07,5.1
2025,1,5,22,24.05,5.69,5.33
2025,1,5,23,23.63,3.98,5.51
2025,1,6,0,23.29,3.35,5.22
2025,1,6,1,23.02,3.29,4.53
2025,1,6,2,22.79,2.54,4.12
2025,1,6,3,22.65,2.51,4.12
2025,1,6,4,22.51,2.12,4.09
2025,1,6,5,22.38,2.33,4.08
2025,1,6,6,22.54,2.71,3.87
2025,1,6,7,23.63,2.8,3.77
2025,1,6,8,24.98,4.23,4.98
2025,1,6,9,26.38,3.9,5.47
2025,1,6,10,27.62,4.79,4.92
2025,1,6,11,28.6,6.64,4.2
2025,1,6,12,29.26,8.57,3.7
2025,1,6,13,29.54,9.08,3.3
2025,1,6,14,29.45,8.02,2.91
2025,1,6,15,29.24,6.05,2.53
2025,1,6,16,28.47,6.23,2.61
2025,1,6,17,27.16,4.91,2.52
2025,1,6,18,25.94,4.34,2.46
2025,1,6,19,25.4,3.19,2.73
2025,1,6,20,25.02,2.87,2.82
2025,1,6,21,24.59,1.91,2.58
2025,1,6,22,24.2,1.62,2.44
2025,1,6,23,23.91,1.34,2.56
2025,1,7,0,23.65,1.22,2.78
2025,1,7,1,23.36,1.2,2.9
2025,1,7,2,23.08,1.15,3.03
2025,1,7,3,22.83,1.11,3.2
2025,1,7,4,22.65,1.09,3.42
2025,1,7,5,22.51,1.31,3.76
2025,1,7,6,22.61,1.99,3.48
2025,1,7,7,23.23,4.91,3.17
2025,1,7,8,23.76,3.24,3.28
2025,1,7,9,24.36,5.38,2.94
2025,1,7,10,24.97,6.92,2.71
2025,1,7,11,25.59,8.67,2.53
2025,1,7,12,26.15,10.36,2.12
2025,1,7,13,26.66,12.14,1.57
2025,1,7,14,26.95,16.43,1.05
2025,1,7,15,27.19,16.16,1.0
2025,1,7,16,27.66,32.27,2.05
2025,1,7,17,26.61,21.69,2.44
2025,1,7,18,25.49,20.35,2.34
2025,1,7,19,24.94,28.1,2.51
2025,1,7,20,24.38,24.89,2.66
2025,1,7,21,23.79,14.64,2.87
2025,1,7,22,23.19,7.71,3.07
2025,1,7,23,22.69,7.54,3.24
2025,1,8,0,22.39,8.42,3.45
2025,1,8,1,22.21,8.14,3.69
2025,1,8,2,22.08,7.64,3.8
2025,1,8,3,22.0,6.78,3.78
2025,1,8,4,21.87,5.23,3.68
2025,1,8,5,21.65,4.18,3.57
2025,1,8,6,21.86,4.05,3.45
2025,1,8,7,23.23,0.0,3.06
2025,1,8,8,24.68,0.0,3.47
2025,1,8,9,26.61,0.0,3.4
2025,1,8,10,27.99,0.0,3.28
2025,1,8,11,28.92,0.0,2.99
2025,1,8,12,29.62,0.0,2.65
2025,1,8,13,29.98,0.0,2.38
2025,1,8,14,30.01,0.0,2.18
2025,1,8,15,29.54,0.0,2.1
2025,1,8,16,29.3,0.0,2.22
2025,1,8,17,27.96,0.0,2.55
2025,1,8,18,26.27,0.0,2.58
2025,1,8,19,25.55,0.0,2.93
2025,1,8,20,24.97,0.0,3.39
2025,1,8,21,24.52,0.0,3.78
2025,1,8,22,24.12,0.0,3.74
2025,1,8,23,23.76,0.0,3.57
2025,1,9,0,23.47,0.0,3.73
2025,1,9,1,23.26,0.0,3.98
2025,1,9,2,22.98,0.0,4.08
2025,1,9,3,22.71,0.0,4.13
2025,1,9,4,22.44,0.0,4.13
