-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  2.3367   Longitude 102.2513 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 82.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,23.98,0.43,2.58
2025,1,1,1,23.88,0.3,2.22
2025,1,1,2,23.77,0.24,1.87
2025,1,1,3,23.66,0.16,1.7
2025,1,1,4,23.58,0.17,1.59
2025,1,1,5,23.43,0.16,1.63
2025,1,1,6,23.44,0.2,1.98
2025,1,1,7,24.5,0.51,1.79
2025,1,1,8,25.85,0.73,1.82
2025,1,1,9,27.11,0.61,1.86
2025,1,1,10,28.13,0.74,1.58
2025,1,1,11,29.19,1.03,1.08
2025,1,1,12,29.84,1.24,0.49
2025,1,1,13,30.14,1.42,0.31
2025,1,1,14,29.92,1.66,0.93
2025,1,1,15,30.2,2.0,1.18
2025,1,1,16,30.34,1.85,0.84
2025,1,1,17,28.69,1.65,0.72
2025,1,1,18,26.83,1.8,0.78
2025,1,1,19,26.34,1.54,1.18
2025,1,1,20,25.92,1.24,1.71
2025,1,1,21,25.37,1.32,2.09
2025,1,1,22,24.94,1.18,2.26
2025,1,1,23,24.58,1.19,2.32
2025,1,2,0,24.26,0.96,2.47
2025,1,2,1,24.04,1.0,2.58
2025,1,2,2,23.85,0.89,2.64
2025,1,2,3,23.7,0.51,2.77
2025,1,2,4,23.59,0.27,3.0
2025,1,2,5,23.53,0.21,3.18
2025,1,2,6,23.79,0.18,3.22
2025,1,2,7,24.69,0.5,2.47
2025,1,2,8,25.9,0.39,2.56
2025,1,2,9,27.29,0.47,2.97
2025,1,2,10,28.48,0.43,2.8
2025,1,2,11,29.5,0.56,2.42
2025,1,2,12,30.16,0.63,1.96
2025,1,2,13,30.47,0.89,1.59
2025,1,2,14,30.35,1.56,1.45
2025,1,2,15,30.78,4.78,1.49
2025,1,2,16,31.01,7.34,1.67
2025,1,2,17,29.09,2.72,1.5
2025,1,2,18,28.05,1.18,1.12
2025,1,2,19,27.88,0.89,0.76
2025,1,2,20,27.61,0.84,0.33
2025,1,2,21,27.24,0.89,0.38
2025,1,2,22,26.79,1.89,1.01
2025,1,2,23,25.99,3.0,1.69
2025,1,3,0,25.0,4.55,2.28
2025,1,3,1,24.27,6.56,2.7
2025,1,3,2,23.84,7.37,2.99
2025,1,3,3,23.51,8.51,3.06
2025,1,3,4,23.2,8.05,3.06
2025,1,3,5,23.01,9.02,3.06
2025,1,3,6,23.24,8.49,2.91
2025,1,3,7,24.24,14.94,2.13
2025,1,3,8,27.17,16.92,2.15
2025,1,3,9,28.96,24.83,1.87
2025,1,3,10,30.32,24.5,1.73
2025,1,3,11,30.77,25.25,1.44
2025,1,3,12,31.05,25.37,1.17
2025,1,3,13,31.32,30.28,0.85
2025,1,3,14,31.1,33.3,0.58
2025,1,3,15,31.1,40.94,0.6
2025,1,3,16,31.62,46.84,0.37
2025,1,3,17,29.17,45.28,0.68
2025,1,3,18,27.34,51.7,0.9
2025,1,3,19,26.61,59.06,1.24
2025,1,3,20,25.95,70.1,1.76
2025,1,3,21,25.38,81.53,2.41
2025,1,3,22,24.97,102.01,3.05
2025,1,3,23,24.67,114.37,3.41
2025,1,4,0,24.47,123.23,3.29
2025,1,4,1,24.25,131.3,3.51
2025,1,4,2,24.04,131.18,3.42
2025,1,4,3,23.83,121.74,3.35
2025,1,4,4,23.64,90.23,3.17
2025,1,4,5,23.47,60.89,2.94
2025,1,4,6,23.47,34.95,2.98
2025,1,4,7,24.31,10.3,2.98
2025,1,4,8,25.83,2.31,3.74
2025,1,4,9,27.32,0.41,3.37
2025,1,4,10,28.31,0.2,3.06
2025,1,4,11,28.88,0.67,2.89
2025,1,4,12,29.01,4.06,2.65
2025,1,4,13,28.99,5.86,2.45
2025,1,4,14,28.74,7.43,2.33
2025,1,4,15,28.6,7.66,2.42
2025,1,4,16,28.01,7.3,2.78
2025,1,4,17,26.52,4.32,3.12
2025,1,4,18,25.35,3.39,3.74
2025,1,4,19,25.1,2.66,3.9
2025,1,4,20,24.94,3.86,3.67
2025,1,4,21,24.77,4.54,3.69
2025,1,4,22,24.63,5.17,3.79
2025,1,4,23,24.47,5.12,3.83
2025,1,5,0,24.29,5.18,3.9
2025,1,5,1,24.1,3.73,3.85
2025,1,5,2,23.92,3.75,3.78
2025,1,5,3,23.8,2.76,3.88
2025,1,5,4,23.67,1.84,3.84
2025,1,5,5,23.52,1.01,3.79
2025,1,5,6,23.64,0.56,3.64
2025,1,5,7,24.52,0.53,2.75
2025,1,5,8,25.57,0.53,3.33
2025,1,5,9,26.72,0.9,4.19
2025,1,5,10,27.64,2.83,4.48
2025,1,5,11,28.27,5.32,4.31
2025,1,5,12,28.68,6.54,3.91
2025,1,5,13,28.86,6.75,3.35
2025,1,5,14,28.73,8.15,2.82
2025,1,5,15,28.44,7.85,2.63
2025,1,5,16,27.95,10.26,2.98
2025,1,5,17,26.92,8.7,3.01
2025,1,5,18,25.62,8.52,3.62
2025,1,5,19,25.33,9.6,4.1
2025,1,5,20,25.04,8.18,4.22
2025,1,5,21,24.71,6.85,4.35
2025,1,5,22,24.43,5.61,4.47
2025,1,5,23,24.19,3.55,4.6
2025,1,6,0,24.01,2.98,4.98
2025,1,6,1,23.85,2.44,4.4
2025,1,6,2,23.75,1.97,4.52
2025,1,6,3,23.63,1.77,4.02
2025,1,6,4,23.42,1.4,3.73
2025,1,6,5,23.27,1.6,3.74
2025,1,6,6,23.46,1.99,3.58
2025,1,6,7,24.55,1.6,2.93
2025,1,6,8,26.03,2.12,4.22
2025,1,6,9,27.7,2.44,4.95
2025,1,6,10,28.91,3.23,4.76
2025,1,6,11,29.83,4.38,4.38
2025,1,6,12,30.36,5.54,4.12
2025,1,6,13,30.4,5.52,4.03
2025,1,6,14,29.88,4.8,3.93
2025,1,6,15,29.09,3.63,3.64
2025,1,6,16,28.06,4.54,3.58
2025,1,6,17,26.87,3.85,3.33
2025,1,6,18,25.63,3.67,3.42
2025,1,6,19,25.14,3.01,3.44
2025,1,6,20,24.73,3.15,3.37
2025,1,6,21,24.37,2.12,3.25
2025,1,6,22,24.13,1.57,3.25
2025,1,6,23,23.9,1.12,3.27
2025,1,7,0,23.7,0.95,3.42
2025,1,7,1,23.53,0.93,3.57
2025,1,7,2,23.34,0.87,3.63
2025,1,7,3,23.17,0.82,3.79
2025,1,7,4,23.05,0.88,3.88
2025,1,7,5,22.88,1.16,3.73
2025,1,7,6,23.0,2.08,3.44
2025,1,7,7,23.9,3.28,2.7
2025,1,7,8,24.9,4.62,2.96
2025,1,7,9,26.07,7.59,2.82
