-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  2.7895   Longitude 102.2046 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 98.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,23.87,0.06,2.01
2025,1,1,1,23.91,0.04,1.33
2025,1,1,2,23.9,0.02,0.76
2025,1,1,3,23.79,0.03,0.52
2025,1,1,4,23.6,0.03,0.75
2025,1,1,5,23.25,0.02,1.32
2025,1,1,6,23.15,0.03,2.03
2025,1,1,7,24.31,0.07,1.67
2025,1,1,8,25.89,0.13,1.72
2025,1,1,9,27.23,0.13,1.92
2025,1,1,10,28.25,0.22,1.7
2025,1,1,11,29.28,0.33,1.29
2025,1,1,12,30.09,0.46,0.83
2025,1,1,13,30.34,0.55,0.36
2025,1,1,14,29.93,0.7,0.88
2025,1,1,15,29.63,0.86,1.5
2025,1,1,16,29.71,0.88,1.45
2025,1,1,17,28.11,0.94,1.59
2025,1,1,18,26.63,1.0,1.74
2025,1,1,19,26.0,0.85,1.93
2025,1,1,20,25.49,0.65,2.16
2025,1,1,21,25.12,0.58,2.17
2025,1,1,22,24.86,0.49,2.02
2025,1,1,23,24.59,0.32,1.93
2025,1,2,0,24.29,0.24,2.09
2025,1,2,1,24.05,0.18,2.32
2025,1,2,2,23.82,0.09,2.51
2025,1,2,3,23.61,0.05,2.83
2025,1,2,4,23.44,0.03,3.13
2025,1,2,5,23.28,0.02,3.26
2025,1,2,6,23.41,0.01,3.2
2025,1,2,7,24.39,0.23,2.23
2025,1,2,8,25.75,0.22,2.48
2025,1,2,9,26.86,0.24,2.78
2025,1,2,10,27.88,0.17,2.56
2025,1,2,11,28.81,0.2,2.17
2025,1,2,12,29.46,0.21,1.77
2025,1,2,13,29.83,0.27,1.47
2025,1,2,14,29.85,0.52,1.31
2025,1,2,15,29.73,2.02,1.23
2025,1,2,16,30.98,3.58,1.43
2025,1,2,17,29.09,1.17,1.28
2025,1,2,18,28.31,0.33,0.85
2025,1,2,19,28.03,0.19,0.62
2025,1,2,20,27.44,0.24,0.77
2025,1,2,21,26.74,0.31,1.24
2025,1,2,22,25.96,0.67,1.69
2025,1,2,23,25.06,0.95,2.12
2025,1,3,0,24.38,1.27,2.32
2025,1,3,1,23.92,1.62,2.42
2025,1,3,2,23.55,1.71,2.54
2025,1,3,3,23.21,1.96,2.54
2025,1,3,4,22.88,1.97,2.62
2025,1,3,5,22.62,1.94,2.77
2025,1,3,6,22.85,1.73,2.82
2025,1,3,7,24.1,7.68,1.98
2025,1,3,8,25.89,13.18,1.96
2025,1,3,9,27.68,17.24,1.84
2025,1,3,10,29.26,21.61,1.65
2025,1,3,11,30.34,26.9,1.46
2025,1,3,12,30.92,28.8,1.26
2025,1,3,13,31.15,37.58,0.95
2025,1,3,14,30.9,44.39,0.79
2025,1,3,15,30.92,52.94,1.06
2025,1,3,16,30.54,55.52,1.71
2025,1,3,17,28.2,49.93,2.44
2025,1,3,18,26.37,50.47,2.51
2025,1,3,19,25.63,53.35,2.59
2025,1,3,20,25.17,57.6,2.56
2025,1,3,21,24.85,60.25,2.71
