-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  3.7519   Longitude 102.482 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 189.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,23.26,0.0,2.05
2025,1,1,1,23.1,0.0,1.9
2025,1,1,2,23.04,0.0,1.62
2025,1,1,3,22.94,0.0,1.55
2025,1,1,4,22.79,0.0,1.64
2025,1,1,5,22.58,0.0,1.98
2025,1,1,6,22.62,0.0,2.39
2025,1,1,7,23.85,0.02,1.97
2025,1,1,8,25.18,0.02,2.03
2025,1,1,9,26.57,0.02,2.19
2025,1,1,10,28.08,0.02,2.03
2025,1,1,11,29.36,0.02,1.75
2025,1,1,12,30.09,0.03,1.45
2025,1,1,13,30.31,0.03,1.19
2025,1,1,14,29.89,0.03,1.29
2025,1,1,15,29.01,0.04,1.82
2025,1,1,16,28.34,0.04,2.11
2025,1,1,17,26.9,0.04,2.07
2025,1,1,18,25.55,0.04,2.06
2025,1,1,19,25.1,0.05,2.0
2025,1,1,20,24.81,0.05,1.73
2025,1,1,21,24.64,0.05,1.63
2025,1,1,22,24.53,0.05,1.36
2025,1,1,23,24.29,0.06,1.43
2025,1,2,0,23.9,0.07,1.81
2025,1,2,1,23.58,0.06,2.13
2025,1,2,2,23.36,0.04,2.41
2025,1,2,3,23.2,0.02,2.74
2025,1,2,4,23.03,0.01,2.99
2025,1,2,5,22.8,0.0,3.13
2025,1,2,6,22.8,0.0,3.0
2025,1,2,7,23.81,0.0,2.3
2025,1,2,8,25.09,0.0,2.27
2025,1,2,9,26.21,0.01,2.5
2025,1,2,10,27.1,0.0,2.32
2025,1,2,11,27.84,0.0,1.9
2025,1,2,12,28.5,0.0,1.49
2025,1,2,13,29.0,0.0,1.15
2025,1,2,14,29.15,0.0,0.94
2025,1,2,15,28.91,0.01,0.86
2025,1,2,16,29.29,0.01,0.87
2025,1,2,17,28.49,0.0,0.96
2025,1,2,18,27.17,0.0,1.25
2025,1,2,19,26.17,0.0,1.91
2025,1,2,20,25.28,0.0,2.37
2025,1,2,21,24.59,0.0,2.55
2025,1,2,22,24.19,0.0,2.43
2025,1,2,23,23.86,0.01,2.27
2025,1,3,0,23.65,0.01,2.07
2025,1,3,1,23.35,0.01,2.04
2025,1,3,2,23.07,0.01,2.12
2025,1,3,3,22.84,0.01,2.11
2025,1,3,4,22.61,0.01,2.33
2025,1,3,5,22.38,0.0,2.54
2025,1,3,6,22.57,0.0,2.61
2025,1,3,7,24.2,23.41,1.85
2025,1,3,8,25.8,22.69,1.92
2025,1,3,9,27.35,19.54,1.96
2025,1,3,10,28.61,20.74,1.82
2025,1,3,11,29.52,22.72,1.69
2025,1,3,12,30.08,23.07,1.61
2025,1,3,13,30.19,22.68,1.65
2025,1,3,14,29.49,20.37,1.98
2025,1,3,15,29.35,16.42,2.37
2025,1,3,16,27.99,11.69,3.06
2025,1,3,17,26.35,8.17,3.09
2025,1,3,18,25.25,7.51,3.03
2025,1,3,19,24.79,7.43,2.82
2025,1,3,20,24.44,7.24,2.83
2025,1,3,21,24.15,7.12,2.7
2025,1,3,22,23.92,7.06,2.3
2025,1,3,23,23.8,6.62,1.68
2025,1,4,0,23.6,6.84,1.77
2025,1,4,1,23.32,6.2,2.52
2025,1,4,2,23.18,5.73,2.62
2025,1,4,3,23.06,5.03,2.48
2025,1,4,4,22.98,3.63,2.07
2025,1,4,5,22.98,1.64,1.63
2025,1,4,6,23.17,0.47,1.25
2025,1,4,7,24.44,1.56,1.2
2025,1,4,8,26.79,0.71,1.74
2025,1,4,9,27.14,0.54,1.8
2025,1,4,10,28.13,1.08,1.9
2025,1,4,11,28.85,2.69,1.92
2025,1,4,12,29.26,5.84,1.84
2025,1,4,13,29.28,10.44,1.86
2025,1,4,14,28.8,17.41,1.97
2025,1,4,15,28.27,23.58,2.15
2025,1,4,16,27.65,23.29,2.43
2025,1,4,17,26.16,18.79,2.67
2025,1,4,18,25.04,17.79,3.12
2025,1,4,19,24.65,14.86,3.23
2025,1,4,20,24.39,12.18,3.16
2025,1,4,21,24.11,11.36,2.86
2025,1,4,22,23.85,12.44,2.66
2025,1,4,23,23.63,12.31,2.67
2025,1,5,0,23.38,9.32,2.61
2025,1,5,1,23.14,6.42,2.57
2025,1,5,2,22.93,5.78,2.57
2025,1,5,3,22.72,4.38,2.56
2025,1,5,4,22.54,3.26,2.48
2025,1,5,5,22.38,2.67,2.44
2025,1,5,6,22.56,2.63,2.41
2025,1,5,7,24.24,2.22,2.67
2025,1,5,8,25.8,2.62,3.23
2025,1,5,9,26.98,2.84,3.22
2025,1,5,10,28.23,5.09,3.22
2025,1,5,11,29.06,12.06,3.15
2025,1,5,12,29.52,20.8,3.05
2025,1,5,13,29.62,27.46,3.02
2025,1,5,14,29.34,27.06,2.91
2025,1,5,15,28.73,27.69,2.67
2025,1,5,16,27.97,28.15,2.97
2025,1,5,17,26.42,25.51,3.29
2025,1,5,18,25.04,23.9,3.47
2025,1,5,19,24.46,19.93,3.15
2025,1,5,20,24.04,14.86,3.11
2025,1,5,21,23.7,9.24,3.23
2025,1,5,22,23.42,10.33,3.22
2025,1,5,23,23.15,7.08,3.19
2025,1,6,0,22.9,5.67,3.0
2025,1,6,1,22.74,5.43,2.44
2025,1,6,2,22.85,5.09,1.75
2025,1,6,3,22.74,4.75,1.8
2025,1,6,4,22.54,5.04,1.93
2025,1,6,5,22.51,5.2,1.66
2025,1,6,6,22.53,4.75,1.79
2025,1,6,7,24.08,7.76,3.21
2025,1,6,8,25.2,5.65,3.56
2025,1,6,9,26.66,4.57,3.61
2025,1,6,10,27.98,7.17,3.66
2025,1,6,11,28.91,16.2,3.46
