-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  5.3618   Longitude 100.2298 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,27.93,0.17,2.75
2025,1,1,1,27.74,0.15,3.03
2025,1,1,2,27.56,0.2,3.38
2025,1,1,3,27.39,0.19,3.73
2025,1,1,4,27.3,0.14,3.9
2025,1,1,5,27.25,0.1,3.94
2025,1,1,6,27.27,0.05,3.92
2025,1,1,7,27.66,0.02,3.9
2025,1,1,8,28.02,0.01,4.01
2025,1,1,9,28.39,0.0,4.21
2025,1,1,10,28.82,0.0,4.14
2025,1,1,11,29.25,0.01,3.74
2025,1,1,12,29.61,0.01,3.11
2025,1,1,13,29.89,0.02,2.49
2025,1,1,14,30.07,0.01,2.16
2025,1,1,15,30.1,0.01,2.37
2025,1,1,16,30.13,0.01,2.89
2025,1,1,17,29.94,0.0,3.24
2025,1,1,18,29.55,0.0,3.51
2025,1,1,19,29.45,0.0,3.91
2025,1,1,20,29.28,0.01,4.56
2025,1,1,21,29.06,0.04,5.36
2025,1,1,22,28.75,0.06,5.91
2025,1,1,23,28.33,0.13,6.14
2025,1,2,0,27.92,0.17,6.22
2025,1,2,1,27.58,0.36,6.25
2025,1,2,2,27.32,0.32,6.23
2025,1,2,3,27.16,0.48,6.16
2025,1,2,4,27.09,0.38,6.03
2025,1,2,5,27.06,0.56,5.91
2025,1,2,6,27.05,0.57,5.82
2025,1,2,7,27.37,0.64,5.52
2025,1,2,8,27.68,0.53,5.15
2025,1,2,9,28.1,0.48,4.66
2025,1,2,10,28.59,0.47,3.98
2025,1,2,11,29.06,0.39,3.12
2025,1,2,12,29.41,0.21,2.36
2025,1,2,13,29.58,0.1,2.06
2025,1,2,14,29.65,0.07,2.29
2025,1,2,15,29.59,0.05,2.76
2025,1,2,16,29.56,0.04,3.27
2025,1,2,17,29.42,0.05,3.6
2025,1,2,18,29.01,0.03,3.95
2025,1,2,19,28.93,0.03,4.33
2025,1,2,20,28.94,0.03,4.82
2025,1,2,21,28.91,0.07,5.45
2025,1,2,22,28.76,0.16,6.12
2025,1,2,23,28.47,0.34,6.57
2025,1,3,0,28.02,0.58,6.79
2025,1,3,1,27.63,0.61,6.84
2025,1,3,2,27.38,0.7,6.72
2025,1,3,3,27.29,0.58,6.55
2025,1,3,4,27.22,0.69,6.28
2025,1,3,5,27.17,0.71,5.93
2025,1,3,6,27.19,0.58,5.55
2025,1,3,7,27.54,0.58,5.06
2025,1,3,8,27.92,0.63,4.82
2025,1,3,9,28.38,0.56,4.66
2025,1,3,10,28.83,0.91,4.52
2025,1,3,11,29.24,1.24,4.39
2025,1,3,12,29.56,1.29,4.28
2025,1,3,13,29.76,1.43,4.17
2025,1,3,14,29.83,1.37,4.2
2025,1,3,15,29.85,1.55,4.37
2025,1,3,16,29.96,1.63,4.59
2025,1,3,17,29.79,1.72,4.84
2025,1,3,18,29.5,1.55,5.24
2025,1,3,19,29.38,1.32,6.03
2025,1,3,20,29.19,1.14,6.99
2025,1,3,21,28.85,0.89,7.57
2025,1,3,22,28.28,0.6,7.59
2025,1,3,23,27.77,0.42,7.49
2025,1,4,0,27.52,0.32,7.33
2025,1,4,1,27.37,0.35,6.84
2025,1,4,2,27.2,0.42,6.28
2025,1,4,3,27.11,0.41,5.99
2025,1,4,4,27.05,0.42,5.71
2025,1,4,5,26.99,0.48,5.26
2025,1,4,6,27.01,0.46,4.95
2025,1,4,7,27.4,0.55,4.7
2025,1,4,8,27.83,0.43,4.48
2025,1,4,9,28.35,0.36,4.02
2025,1,4,10,28.9,0.41,3.2
2025,1,4,11,29.42,1.02,2.12
2025,1,4,12,29.78,1.5,0.97
2025,1,4,13,29.83,2.13,0.84
2025,1,4,14,29.68,3.04,1.76
2025,1,4,15,29.39,3.85,2.41
2025,1,4,16,29.1,4.22,2.58
2025,1,4,17,28.79,4.5,2.38
2025,1,4,18,28.5,3.78,2.11
2025,1,4,19,28.47,4.34,1.67
2025,1,4,20,28.61,3.97,1.46
2025,1,4,21,28.62,3.84,1.87
2025,1,4,22,28.38,3.05,2.6
2025,1,4,23,28.09,3.38,3.45
2025,1,5,0,27.8,3.04,4.3
2025,1,5,1,27.49,3.43,5.03
2025,1,5,2,27.23,3.15,5.55
2025,1,5,3,26.99,2.64,5.7
2025,1,5,4,26.89,2.17,5.15
2025,1,5,5,26.96,1.92,4.45
2025,1,5,6,27.12,1.63,3.89
2025,1,5,7,27.59,1.43,3.62
2025,1,5,8,28.42,1.02,3.57
2025,1,5,9,29.11,0.55,3.33
2025,1,5,10,29.51,0.35,3.06
2025,1,5,11,29.86,0.2,2.72
