-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  4.5956   Longitude 101.0538 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 592.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,21.66,1.08,2.11
2025,1,1,1,21.46,1.14,2.12
2025,1,1,2,21.33,1.27,1.97
2025,1,1,3,21.21,1.53,1.88
2025,1,1,4,21.09,1.56,1.82
2025,1,1,5,20.98,1.11,1.86
2025,1,1,6,21.03,0.76,1.84
2025,1,1,7,22.06,0.26,1.57
2025,1,1,8,23.36,0.22,1.59
2025,1,1,9,24.68,0.21,1.48
2025,1,1,10,26.08,0.3,1.13
2025,1,1,11,27.07,0.36,0.63
2025,1,1,12,27.69,0.38,0.4
2025,1,1,13,27.84,0.35,1.08
2025,1,1,14,27.36,0.32,1.83
2025,1,1,15,26.67,0.3,2.22
2025,1,1,16,25.79,0.28,2.26
2025,1,1,17,24.83,0.27,1.99
2025,1,1,18,23.93,0.26,1.83
2025,1,1,19,23.58,0.24,1.5
2025,1,1,20,23.4,0.23,1.24
2025,1,1,21,23.3,0.2,1.0
2025,1,1,22,23.17,0.2,0.65
2025,1,1,23,23.1,0.24,0.35
2025,1,2,0,23.01,0.25,0.17
2025,1,2,1,22.83,0.26,0.39
2025,1,2,2,22.6,0.3,0.67
2025,1,2,3,22.3,0.35,0.98
2025,1,2,4,22.02,0.4,1.32
2025,1,2,5,21.72,0.42,1.58
2025,1,2,6,21.64,0.39,1.72
2025,1,2,7,22.76,0.4,1.53
2025,1,2,8,24.01,0.37,1.46
2025,1,2,9,25.12,0.36,1.32
2025,1,2,10,26.31,0.37,0.83
2025,1,2,11,27.24,0.32,0.25
2025,1,2,12,27.85,0.27,0.56
2025,1,2,13,27.99,0.22,1.02
2025,1,2,14,27.81,0.2,1.38
2025,1,2,15,27.31,0.19,1.73
2025,1,2,16,26.63,0.19,1.73
2025,1,2,17,25.81,0.12,1.61
2025,1,2,18,24.75,0.09,1.61
2025,1,2,19,24.3,0.11,1.36
2025,1,2,20,24.08,0.11,0.81
2025,1,2,21,23.97,0.11,0.14
2025,1,2,22,23.65,0.15,0.4
2025,1,2,23,23.28,0.22,0.8
2025,1,3,0,22.92,0.32,1.16
2025,1,3,1,22.65,0.38,1.31
2025,1,3,2,22.42,0.39,1.37
2025,1,3,3,22.19,0.44,1.46
2025,1,3,4,22.04,0.41,1.47
2025,1,3,5,21.88,0.44,1.47
2025,1,3,6,21.93,0.44,1.34
2025,1,3,7,23.27,24.5,0.86
2025,1,3,8,24.67,20.48,0.4
2025,1,3,9,25.83,15.91,0.58
2025,1,3,10,26.94,13.2,0.69
2025,1,3,11,27.99,11.53,0.8
2025,1,3,12,28.56,10.15,1.22
2025,1,3,13,28.44,8.2,1.78
2025,1,3,14,27.54,6.08,2.24
2025,1,3,15,26.71,3.84,2.31
2025,1,3,16,25.88,3.03,2.19
2025,1,3,17,24.99,2.35,1.98
2025,1,3,18,24.36,1.93,2.02
2025,1,3,19,24.1,1.98,2.15
2025,1,3,20,23.82,1.87,2.08
2025,1,3,21,23.61,1.74,1.69
2025,1,3,22,23.44,1.51,1.19
2025,1,3,23,23.1,1.3,0.93
2025,1,4,0,22.83,1.32,1.17
2025,1,4,1,22.58,1.52,1.35
2025,1,4,2,22.4,1.58,1.69
2025,1,4,3,22.21,1.73,1.92
2025,1,4,4,21.96,1.74,2.34
2025,1,4,5,21.71,1.67,2.7
2025,1,4,6,21.59,1.55,2.78
2025,1,4,7,22.47,3.44,2.57
2025,1,4,8,23.46,1.88,2.81
2025,1,4,9,24.8,1.07,2.89
