-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  6.4869   Longitude 100.2367 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 45.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,24.82,0.0,4.6
2025,1,1,1,24.64,0.0,4.35
2025,1,1,2,24.51,0.0,4.24
2025,1,1,3,24.46,0.0,4.14
2025,1,1,4,24.44,0.0,3.9
2025,1,1,5,24.45,0.0,3.59
2025,1,1,6,24.54,0.0,3.31
2025,1,1,7,25.66,0.0,3.05
2025,1,1,8,26.74,0.0,3.2
2025,1,1,9,27.67,0.0,3.54
2025,1,1,10,28.41,0.0,3.7
2025,1,1,11,29.03,0.0,3.67
2025,1,1,12,29.44,0.0,3.58
2025,1,1,13,29.58,0.0,3.54
2025,1,1,14,29.62,0.0,3.5
2025,1,1,15,29.48,0.01,3.6
2025,1,1,16,29.01,0.01,4.07
2025,1,1,17,28.24,0.0,4.76
2025,1,1,18,27.07,0.0,5.55
2025,1,1,19,26.56,0.0,6.13
2025,1,1,20,26.17,0.0,6.33
2025,1,1,21,25.84,0.0,6.12
2025,1,1,22,25.55,0.0,5.74
2025,1,1,23,25.3,0.0,5.43
2025,1,2,0,25.09,0.0,5.29
2025,1,2,1,24.91,0.0,5.14
2025,1,2,2,24.75,0.0,4.98
2025,1,2,3,24.6,0.01,4.95
2025,1,2,4,24.55,0.01,4.87
2025,1,2,5,24.52,0.01,4.69
2025,1,2,6,24.61,0.01,4.49
2025,1,2,7,25.78,0.01,4.18
2025,1,2,8,26.84,0.01,4.14
2025,1,2,9,27.77,0.0,4.01
2025,1,2,10,28.49,0.0,3.53
2025,1,2,11,29.13,0.0,2.96
2025,1,2,12,29.58,0.0,2.58
2025,1,2,13,29.86,0.0,2.41
2025,1,2,14,30.03,0.0,2.41
2025,1,2,15,29.95,0.0,2.56
2025,1,2,16,29.62,0.0,3.06
2025,1,2,17,28.88,0.0,3.92
2025,1,2,18,27.72,0.0,4.93
2025,1,2,19,27.13,0.0,5.64
2025,1,2,20,26.59,0.0,6.05
2025,1,2,21,26.11,0.0,6.42
2025,1,2,22,25.78,0.0,6.49
2025,1,2,23,25.56,0.0,6.35
2025,1,3,0,25.4,0.0,6.16
2025,1,3,1,25.27,0.0,5.93
2025,1,3,2,25.18,0.0,5.81
2025,1,3,3,25.12,0.0,5.67
2025,1,3,4,25.04,0.01,5.36
2025,1,3,5,24.92,0.01,4.99
2025,1,3,6,24.93,0.01,4.69
2025,1,3,7,26.04,0.02,4.23
2025,1,3,8,27.05,0.03,4.2
2025,1,3,9,27.96,0.02,4.34
2025,1,3,10,28.76,0.05,4.34
2025,1,3,11,29.42,0.14,4.3
2025,1,3,12,29.88,0.18,4.29
2025,1,3,13,30.13,0.22,4.42
2025,1,3,14,30.13,0.31,4.65
2025,1,3,15,29.86,0.35,4.98
2025,1,3,16,29.24,0.34,5.4
2025,1,3,17,28.38,0.28,5.65
2025,1,3,18,27.2,0.19,6.15
2025,1,3,19,26.6,0.07,6.65
2025,1,3,20,26.16,0.03,6.63
2025,1,3,21,25.85,0.01,6.33
2025,1,3,22,25.61,0.01,6.22
2025,1,3,23,25.39,0.01,6.22
2025,1,4,0,25.22,0.02,6.04
2025,1,4,1,25.14,0.02,5.6
2025,1,4,2,25.03,0.03,5.23
2025,1,4,3,24.96,0.04,5.14
2025,1,4,4,24.89,0.1,5.14
2025,1,4,5,24.8,0.07,5.0
2025,1,4,6,24.85,0.09,4.72
2025,1,4,7,26.07,1.36,4.23
2025,1,4,8,27.19,0.99,4.24
2025,1,4,9,28.13,1.06,4.2
2025,1,4,10,28.9,0.57,3.84
2025,1,4,11,29.55,1.15,3.36
2025,1,4,12,30.01,1.96,2.89
2025,1,4,13,30.24,2.61,2.45
2025,1,4,14,30.26,6.12,2.1
2025,1,4,15,30.0,8.17,2.23
2025,1,4,16,29.38,11.43,3.04
2025,1,4,17,28.43,14.9,4.07
2025,1,4,18,27.41,12.43,5.08
2025,1,4,19,26.75,11.28,5.76
2025,1,4,20,26.2,6.5,6.41
2025,1,4,21,25.8,2.53,6.89
2025,1,4,22,25.62,2.2,6.82
2025,1,4,23,25.47,1.81,6.51
2025,1,5,0,25.31,1.61,6.21
2025,1,5,1,25.2,1.7,5.82
2025,1,5,2,25.13,3.43,5.48
2025,1,5,3,25.09,3.26,5.07
2025,1,5,4,25.02,4.53,4.59
2025,1,5,5,24.82,3.95,4.13
2025,1,5,6,24.82,3.87,3.94
2025,1,5,7,25.82,0.13,3.83
2025,1,5,8,26.65,0.09,3.86
2025,1,5,9,27.61,0.05,3.97
2025,1,5,10,28.55,0.04,3.99
2025,1,5,11,29.33,0.03,3.95
2025,1,5,12,29.88,0.04,3.87
2025,1,5,13,30.17,0.04,3.91
2025,1,5,14,30.25,0.07,4.11
2025,1,5,15,30.04,0.11,4.47
2025,1,5,16,29.33,0.16,5.35
2025,1,5,17,28.24,0.25,6.4
2025,1,5,18,27.08,0.36,7.6
2025,1,5,19,26.27,0.45,8.07
2025,1,5,20,25.89,0.31,8.11
2025,1,5,21,25.73,0.14,7.85
2025,1,5,22,25.56,0.1,7.59
2025,1,5,23,25.42,0.08,7.22
2025,1,6,0,25.3,0.07,6.9
2025,1,6,1,25.23,0.06,6.89
2025,1,6,2,25.1,0.06,6.5
2025,1,6,3,24.93,0.06,6.08
2025,1,6,4,24.85,0.05,5.72
2025,1,6,5,24.8,0.04,5.46
2025,1,6,6,24.85,0.03,5.28
2025,1,6,7,25.83,0.03,4.88
2025,1,6,8,27.04,0.01,4.95
2025,1,6,9,28.12,0.0,5.35
2025,1,6,10,28.92,0.01,5.49
2025,1,6,11,29.61,0.06,5.29
2025,1,6,12,30.15,0.12,4.95
2025,1,6,13,30.45,0.14,4.54
2025,1,6,14,30.48,0.1,3.95
2025,1,6,15,30.33,0.11,3.36
2025,1,6,16,29.82,0.14,3.35
2025,1,6,17,28.88,0.19,4.01
2025,1,6,18,27.68,0.2,4.92
2025,1,6,19,27.05,0.23,5.77
2025,1,6,20,26.54,0.28,6.26
2025,1,6,21,26.12,0.39,6.37
2025,1,6,22,25.83,0.43,6.04
2025,1,6,23,25.59,0.41,5.82
2025,1,7,0,25.41,0.31,5.68
2025,1,7,1,25.26,0.26,5.55
2025,1,7,2,25.17,0.26,5.37
2025,1,7,3,25.09,0.25,5.33
2025,1,7,4,24.99,0.26,5.39
2025,1,7,5,24.89,0.27,5.51
2025,1,7,6,24.89,0.25,5.57
2025,1,7,7,25.5,0.42,5.55
2025,1,7,8,26.24,0.54,5.5
2025,1,7,9,26.91,0.43,5.65
2025,1,7,10,27.57,0.42,5.64
2025,1,7,11,28.41,0.47,5.54
2025,1,7,12,29.18,0.48,5.38
2025,1,7,13,29.71,0.52,5.27
2025,1,7,14,29.96,0.48,5.28
2025,1,7,15,29.91,0.4,5.28
2025,1,7,16,29.52,0.32,5.03
2025,1,7,17,28.62,0.3,4.89
2025,1,7,18,27.34,0.24,5.29
2025,1,7,19,26.73,0.19,5.67
2025,1,7,20,26.23,0.17,5.89
2025,1,7,21,25.83,0.1,6.03
2025,1,7,22,25.53,0.07,6.03
2025,1,7,23,25.32,0.05,5.99
2025,1,8,0,25.14,0.03,6.08
2025,1,8,1,24.98,0.02,6.08
2025,1,8,2,24.8,0.01,6.01
2025,1,8,3,24.64,0.01,6.04
2025,1,8,4,24.5,0.01,6.06
2025,1,8,5,24.31,0.01,5.99
2025,1,8,6,24.28,0.01,5.85
2025,1,8,7,25.39,0.0,5.43
2025,1,8,8,26.57,0.0,5.38
2025,1,8,9,27.59,0.0,5.36
2025,1,8,10,28.54,0.0,5.2
2025,1,8,11,29.41,0.0,5.03
2025,1,8,12,30.09,0.0,4.77
2025,1,8,13,30.48,0.0,4.47
2025,1,8,14,30.61,0.0,4.21
2025,1,8,15,30.45,0.0,4.1
2025,1,8,16,30.1,0.0,4.34
2025,1,8,17,28.96,0.0,5.05
2025,1,8,18,27.25,0.0,6.05
2025,1,8,19,26.49,0.0,6.91
2025,1,8,20,25.93,0.0,7.33
2025,1,8,21,25.55,0.0,7.25
2025,1,8,22,25.26,0.0,6.86
2025,1,8,23,25.07,0.0,6.47
2025,1,9,0,24.86,0.0,6.11
2025,1,9,1,24.67,0.0,5.87
2025,1,9,2,24.49,0.0,5.76
2025,1,9,3,24.35,0.0,5.72
2025,1,9,4,24.21,0.0,5.58
2025,1,9,5,24.09,0.01,5.51
2025,1,9,6,24.1,0.0,5.54
2025,1,9,7,25.37,0.02,5.34
2025,1,9,8,26.67,0.02,5.6
2025,1,9,9,27.77,0.01,5.82
2025,1,9,10,28.68,0.01,5.84
2025,1,9,11,29.5,0.0,5.85
2025,1,9,12,30.1,0.0,5.83
2025,1,9,13,30.41,0.0,5.76
2025,1,9,14,30.43,0.0,5.69
2025,1,9,15,30.13,0.0,5.76
2025,1,9,16,29.58,0.0,6.01
2025,1,9,17,28.47,0.0,6.39
2025,1,9,18,26.95,0.01,7.15
2025,1,9,19,26.26,0.0,7.68
2025,1,9,20,25.85,0.0,7.71
2025,1,9,21,25.58,0.0,7.37
2025,1,9,22,25.32,0.0,7.04
2025,1,9,23,25.08,0.01,6.87
2025,1,10,0,24.85,0.01,6.73
2025,1,10,1,24.63,0.01,6.55
2025,1,10,2,24.45,0.01,6.34
2025,1,10,3,24.32,0.01,6.06
2025,1,10,4,24.2,0.01,5.82
2025,1,10,5,24.04,0.01,5.49
2025,1,10,6,24.05,0.0,5.23
2025,1,10,7,25.4,0.04,4.89
2025,1,10,8,26.59,0.09,4.86
2025,1,10,9,27.61,0.09,4.92
2025,1,10,10,28.59,0.2,5.12
2025,1,10,11,29.36,0.35,5.39
2025,1,10,12,29.82,0.48,5.63
2025,1,10,13,29.93,0.62,5.82
2025,1,10,14,29.71,0.94,6.13
2025,1,10,15,29.2,1.26,6.83
2025,1,10,16,28.38,1.37,7.69
2025,1,10,17,27.27,1.22,8.0
