-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  5.3204   Longitude 117.0348 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 439.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,23.11,9.82,1.57
2025,1,1,1,23.05,10.52,1.4
2025,1,1,2,22.93,8.73,1.37
2025,1,1,3,22.65,6.72,1.54
2025,1,1,4,22.3,4.78,1.78
2025,1,1,5,22.22,4.46,1.7
2025,1,1,6,22.17,2.92,1.6
2025,1,1,7,22.95,2.06,1.19
2025,1,1,8,23.99,1.19,0.82
2025,1,1,9,25.09,0.73,1.24
2025,1,1,10,26.86,0.34,1.29
2025,1,1,11,28.07,0.54,1.05
2025,1,1,12,28.66,1.01,0.89
2025,1,1,13,28.73,1.51,0.98
2025,1,1,14,28.25,3.58,1.21
2025,1,1,15,27.68,4.09,1.35
2025,1,1,16,26.83,5.67,1.4
2025,1,1,17,25.97,7.29,1.55
2025,1,1,18,25.34,8.2,1.87
2025,1,1,19,25.07,8.77,2.25
2025,1,1,20,24.84,8.69,2.36
2025,1,1,21,24.56,8.99,2.26
2025,1,1,22,24.31,9.57,2.11
2025,1,1,23,24.16,10.85,2.11
2025,1,2,0,24.04,13.04,2.07
2025,1,2,1,23.87,15.1,2.06
2025,1,2,2,23.69,16.52,2.03
2025,1,2,3,23.48,18.63,2.03
2025,1,2,4,23.29,21.1,2.01
2025,1,2,5,23.16,25.15,1.85
2025,1,2,6,23.08,30.21,1.76
2025,1,2,7,23.3,33.3,1.29
2025,1,2,8,23.79,67.11,0.76
2025,1,2,9,24.45,59.96,0.58
2025,1,2,10,25.04,50.72,1.0
2025,1,2,11,25.84,30.33,1.52
2025,1,2,12,26.78,17.09,1.65
2025,1,2,13,27.39,12.91,1.52
2025,1,2,14,27.36,12.96,1.06
2025,1,2,15,27.09,14.59,0.88
2025,1,2,16,26.53,15.05,0.93
2025,1,2,17,25.84,15.96,1.18
2025,1,2,18,25.15,18.14,1.72
2025,1,2,19,24.72,20.6,2.15
2025,1,2,20,24.45,18.72,2.25
2025,1,2,21,24.22,20.61,2.1
2025,1,2,22,24.02,21.79,1.67
2025,1,2,23,23.8,21.33,1.49
2025,1,3,0,23.6,20.39,1.4
2025,1,3,1,23.3,17.21,1.55
2025,1,3,2,22.96,13.57,1.84
2025,1,3,3,22.73,10.96,2.05
2025,1,3,4,22.51,10.37,2.16
2025,1,3,5,22.29,11.5,2.33
2025,1,3,6,22.18,7.2,2.34
2025,1,3,7,22.66,3.78,1.9
2025,1,3,8,23.49,1.45,1.14
2025,1,3,9,24.81,1.37,1.16
2025,1,3,10,26.25,1.06,1.19
2025,1,3,11,27.33,1.71,1.0
2025,1,3,12,27.7,1.25,0.79
2025,1,3,13,27.72,1.08,0.7
2025,1,3,14,27.43,1.48,0.46
2025,1,3,15,27.02,3.14,0.43
2025,1,3,16,26.44,5.33,0.43
2025,1,3,17,25.82,5.53,0.38
2025,1,3,18,25.27,4.11,0.83
2025,1,3,19,24.76,2.72,1.32
2025,1,3,20,24.3,2.92,1.75
2025,1,3,21,24.12,2.42,1.61
2025,1,3,22,24.07,3.66,1.27
2025,1,3,23,24.18,4.08,0.64
2025,1,4,0,24.1,5.95,0.23
2025,1,4,1,23.87,7.29,0.44
2025,1,4,2,23.63,6.25,0.64
2025,1,4,3,23.39,4.68,0.83
2025,1,4,4,23.2,2.02,0.98
2025,1,4,5,23.08,1.03,1.01
2025,1,4,6,22.98,0.83,1.0
2025,1,4,7,23.15,0.69,0.88
2025,1,4,8,23.68,8.93,0.5
2025,1,4,9,24.2,11.34,0.61
2025,1,4,10,25.25,6.41,0.82
2025,1,4,11,25.89,4.2,0.65
2025,1,4,12,26.34,2.85,0.48
2025,1,4,13,26.61,1.19,0.22
2025,1,4,14,26.53,0.39,0.75
2025,1,4,15,26.13,0.61,1.33
2025,1,4,16,25.42,3.73,1.2
2025,1,4,17,24.66,5.93,0.93
