-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  3.0415   Longitude 114.0575 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 196.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,24.0,6.16,2.32
2025,1,1,1,23.66,6.88,2.79
2025,1,1,2,23.74,6.87,2.23
2025,1,1,3,23.5,6.77,2.27
2025,1,1,4,23.21,5.37,2.66
2025,1,1,5,23.2,4.35,2.77
2025,1,1,6,23.35,2.82,3.1
2025,1,1,7,23.79,1.75,2.64
2025,1,1,8,24.39,3.68,1.84
2025,1,1,9,25.24,3.6,1.16
2025,1,1,10,25.96,2.1,1.62
2025,1,1,11,26.86,1.63,1.54
2025,1,1,12,27.8,2.38,1.46
2025,1,1,13,28.08,3.43,1.56
2025,1,1,14,27.98,7.44,1.59
2025,1,1,15,27.76,7.9,1.42
2025,1,1,16,27.32,9.27,0.89
2025,1,1,17,26.63,9.85,0.7
2025,1,1,18,26.07,9.1,0.76
2025,1,1,19,25.79,6.95,0.88
2025,1,1,20,25.4,5.35,1.25
2025,1,1,21,24.81,4.91,1.88
2025,1,1,22,24.33,4.64,2.71
2025,1,1,23,24.37,4.58,3.0
2025,1,2,0,24.34,5.58,2.9
2025,1,2,1,24.15,5.25,2.8
2025,1,2,2,23.88,6.24,2.79
2025,1,2,3,23.59,5.68,2.73
2025,1,2,4,23.29,5.31,2.7
2025,1,2,5,23.03,3.64,2.78
2025,1,2,6,22.84,2.5,2.76
2025,1,2,7,23.07,1.61,2.14
2025,1,2,8,23.68,4.33,1.3
2025,1,2,9,24.63,3.86,1.49
2025,1,2,10,25.62,0.65,1.77
2025,1,2,11,26.93,0.32,1.71
2025,1,2,12,27.84,0.46,1.75
2025,1,2,13,28.21,0.25,1.86
2025,1,2,14,28.22,1.48,1.81
2025,1,2,15,27.93,7.64,1.53
2025,1,2,16,27.36,12.76,1.08
2025,1,2,17,26.81,8.13,0.96
2025,1,2,18,26.01,7.49,1.57
2025,1,2,19,25.23,2.77,2.19
2025,1,2,20,24.74,2.02,2.57
2025,1,2,21,24.48,1.1,2.79
2025,1,2,22,24.27,1.78,2.91
2025,1,2,23,24.14,1.95,2.9
2025,1,3,0,23.82,3.09,2.87
2025,1,3,1,23.51,3.11,2.77
2025,1,3,2,23.21,4.38,2.77
2025,1,3,3,22.97,5.56,2.86
2025,1,3,4,22.76,6.73,2.98
2025,1,3,5,22.62,5.63,2.99
2025,1,3,6,22.53,3.6,3.02
2025,1,3,7,23.35,3.08,2.1
2025,1,3,8,24.71,1.81,1.08
2025,1,3,9,26.45,1.87,1.46
2025,1,3,10,28.16,2.36,2.06
2025,1,3,11,29.11,3.15,2.23
2025,1,3,12,29.6,5.88,2.21
2025,1,3,13,29.75,8.08,2.17
2025,1,3,14,29.49,14.11,2.06
2025,1,3,15,29.16,20.85,1.62
2025,1,3,16,28.69,22.67,0.99
2025,1,3,17,28.1,24.73,0.79
2025,1,3,18,27.38,24.78,0.82
2025,1,3,19,26.97,22.76,0.89
2025,1,3,20,26.63,20.53,0.97
2025,1,3,21,26.13,18.84,1.22
2025,1,3,22,25.42,17.58,1.71
2025,1,3,23,24.76,18.13,2.22
2025,1,4,0,24.38,21.15,2.44
2025,1,4,1,24.11,21.55,2.51
2025,1,4,2,23.91,24.87,2.41
2025,1,4,3,23.66,25.08,2.5
2025,1,4,4,23.42,22.57,2.79
2025,1,4,5,23.38,16.64,3.1
2025,1,4,6,23.36,15.22,3.2
2025,1,4,7,23.68,14.1,2.37
2025,1,4,8,24.48,10.68,1.45
2025,1,4,9,25.72,11.98,1.13
2025,1,4,10,26.8,11.47,1.61
2025,1,4,11,27.71,8.2,1.75
2025,1,4,12,28.31,6.26,1.59
2025,1,4,13,28.58,4.69,1.43
2025,1,4,14,28.55,5.83,1.44
2025,1,4,15,28.24,8.12,1.25
2025,1,4,16,27.83,12.21,0.82
2025,1,4,17,27.24,15.22,0.71
2025,1,4,18,26.53,16.8,0.91
2025,1,4,19,26.34,15.89,0.76
2025,1,4,20,26.05,18.42,0.89
2025,1,4,21,25.43,17.91,1.45
2025,1,4,22,24.81,14.49,1.95
2025,1,4,23,24.44,10.16,2.2
2025,1,5,0,24.26,7.29,2.16
2025,1,5,1,24.21,3.93,1.88
2025,1,5,2,24.15,4.24,1.66
2025,1,5,3,23.96,4.11,1.65
2025,1,5,4,23.7,4.41,1.76
2025,1,5,5,23.3,5.03,2.07
2025,1,5,6,22.93,5.53,2.48
2025,1,5,7,23.6,5.07,2.41
2025,1,5,8,24.49,5.39,1.19
2025,1,5,9,25.65,7.53,0.84
2025,1,5,10,26.57,10.5,0.99
2025,1,5,11,27.82,9.1,1.16
2025,1,5,12,28.54,8.94,1.38
2025,1,5,13,28.84,9.25,1.56
2025,1,5,14,28.77,8.48,1.67
2025,1,5,15,28.41,9.1,1.57
2025,1,5,16,27.84,11.24,1.06
2025,1,5,17,27.16,10.08,1.03
2025,1,5,18,26.23,8.8,1.31
2025,1,5,19,25.47,8.4,1.72
2025,1,5,20,25.02,8.14,1.89
2025,1,5,21,24.7,8.83,1.91
2025,1,5,22,24.35,7.65,1.96
2025,1,5,23,24.01,5.44,2.03
2025,1,6,0,23.74,3.25,2.02
2025,1,6,1,23.55,1.45,1.94
2025,1,6,2,23.34,0.93,1.89
2025,1,6,3,22.92,0.89,2.24
2025,1,6,4,22.56,0.73,2.82
2025,1,6,5,22.59,0.75,2.97
2025,1,6,6,22.55,0.33,2.87
2025,1,6,7,23.32,0.19,1.85
2025,1,6,8,24.8,0.02,0.82
2025,1,6,9,26.95,0.0,0.71
2025,1,6,10,28.56,0.0,0.91
2025,1,6,11,29.45,0.09,1.08
2025,1,6,12,29.94,0.65,1.19
2025,1,6,13,30.05,1.14,1.36
2025,1,6,14,29.87,2.13,1.53
2025,1,6,15,29.24,2.03,1.51
2025,1,6,16,28.68,2.1,1.53
2025,1,6,17,27.98,2.17,1.61
2025,1,6,18,26.92,1.85,2.12
2025,1,6,19,26.19,1.63,2.18
2025,1,6,20,25.72,1.46,2.07
2025,1,6,21,25.32,1.41,2.11
2025,1,6,22,24.97,1.24,2.2
2025,1,6,23,24.65,1.16,2.12
2025,1,7,0,24.36,1.25,1.93
2025,1,7,1,24.12,1.56,1.77
2025,1,7,2,23.97,1.57,1.67
2025,1,7,3,23.98,1.9,1.38
2025,1,7,4,24.05,1.83,1.13
2025,1,7,5,24.15,1.81,0.85
2025,1,7,6,24.08,1.8,0.88
2025,1,7,7,24.31,1.92,0.71
2025,1,7,8,24.96,23.04,0.34
2025,1,7,9,25.63,32.07,0.42
2025,1,7,10,26.28,33.41,0.86
2025,1,7,11,26.85,34.81,1.25
2025,1,7,12,27.26,42.39,1.54
2025,1,7,13,27.35,48.68,1.57
2025,1,7,14,27.1,54.42,1.44
2025,1,7,15,26.81,44.33,1.31
2025,1,7,16,26.57,49.97,1.21
2025,1,7,17,26.34,55.41,1.67
2025,1,7,18,25.74,55.89,2.3
2025,1,7,19,25.29,52.69,2.7
2025,1,7,20,25.03,56.81,2.84
2025,1,7,21,24.76,63.9,2.7
2025,1,7,22,24.47,47.98,2.62
2025,1,7,23,24.2,21.47,2.69
2025,1,8,0,23.98,7.63,2.86
2025,1,8,1,23.83,7.35,2.78
2025,1,8,2,23.66,7.26,2.51
2025,1,8,3,23.48,4.68,2.19
2025,1,8,4,23.32,2.06,1.95
2025,1,8,5,23.41,1.02,1.53
2025,1,8,6,23.51,1.28,1.26
2025,1,8,7,23.86,2.11,1.2
2025,1,8,8,24.65,1.06,0.83
2025,1,8,9,25.88,0.12,0.69
2025,1,8,10,27.57,0.11,0.47
2025,1,8,11,28.52,0.47,0.16
2025,1,8,12,29.0,1.51,0.14
2025,1,8,13,29.09,1.75,0.28
2025,1,8,14,28.84,3.18,0.35
2025,1,8,15,28.19,5.9,0.57
2025,1,8,16,27.56,6.57,0.85
