-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/05/2025 in LST
Location: Latitude  3.2656   Longitude 101.4837 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 76.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,25.34,0.16,3.36
2025,1,1,1,25.19,0.21,3.3
2025,1,1,2,25.05,0.31,2.95
2025,1,1,3,24.92,0.44,2.64
2025,1,1,4,24.8,0.53,2.72
2025,1,1,5,24.67,0.7,3.14
2025,1,1,6,24.77,0.86,3.42
2025,1,1,7,25.94,0.49,3.49
2025,1,1,8,26.81,0.48,3.54
2025,1,1,9,27.51,0.5,3.3
2025,1,1,10,28.25,0.5,2.85
2025,1,1,11,28.83,0.53,2.44
2025,1,1,12,29.08,0.47,2.46
2025,1,1,13,29.09,0.41,2.84
2025,1,1,14,28.87,0.37,3.35
2025,1,1,15,28.49,0.3,3.58
2025,1,1,16,28.03,0.19,3.33
2025,1,1,17,27.46,0.12,2.91
2025,1,1,18,26.68,0.06,2.55
2025,1,1,19,26.59,0.03,1.99
2025,1,1,20,26.75,0.02,1.29
2025,1,1,21,26.95,0.02,0.76
2025,1,1,22,26.97,0.02,0.46
2025,1,1,23,26.77,0.04,0.44
2025,1,2,0,26.54,0.06,0.54
2025,1,2,1,26.33,0.16,0.65
2025,1,2,2,26.16,0.27,0.66
2025,1,2,3,25.92,0.33,0.72
2025,1,2,4,25.66,0.42,0.85
2025,1,2,5,25.41,0.48,1.06
2025,1,2,6,25.35,0.54,1.36
2025,1,2,7,26.39,0.53,1.65
2025,1,2,8,27.4,0.49,1.81
2025,1,2,9,28.32,0.49,1.67
2025,1,2,10,29.09,0.46,1.27
2025,1,2,11,29.77,0.47,0.75
2025,1,2,12,30.14,0.36,0.79
2025,1,2,13,30.16,0.3,1.29
2025,1,2,14,29.92,0.28,1.81
2025,1,2,15,29.55,0.2,2.3
2025,1,2,16,29.43,0.17,2.28
2025,1,2,17,28.81,0.15,2.09
2025,1,2,18,27.76,0.13,2.22
2025,1,2,19,27.4,0.12,2.26
2025,1,2,20,27.31,0.1,1.98
2025,1,2,21,27.39,0.1,1.48
2025,1,2,22,27.31,0.13,0.98
2025,1,2,23,27.31,0.18,0.53
2025,1,3,0,27.12,0.27,0.45
2025,1,3,1,26.83,0.37,0.71
2025,1,3,2,26.45,0.45,0.91
2025,1,3,3,26.16,0.5,1.08
2025,1,3,4,25.97,0.53,1.26
2025,1,3,5,25.79,0.66,1.38
2025,1,3,6,25.82,0.72,1.41
2025,1,3,7,26.85,23.92,1.18
2025,1,3,8,28.0,29.35,0.82
2025,1,3,9,28.61,32.73,0.69
2025,1,3,10,29.33,38.28,0.72
2025,1,3,11,29.88,45.11,1.03
2025,1,3,12,30.08,50.55,1.77
2025,1,3,13,29.77,58.46,2.76
2025,1,3,14,29.36,60.77,3.54
2025,1,3,15,28.92,56.9,3.87
2025,1,3,16,28.43,45.11,3.93
2025,1,3,17,27.81,33.28,3.9
2025,1,3,18,27.09,23.16,3.87
2025,1,3,19,26.86,17.69,3.85
2025,1,3,20,26.71,11.37,3.71
