-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 05/08/2025 in LST
Location: Latitude  4.935   Longitude 102.9435 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 154.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M
2025,1,1,0,24.22,0.01,3.91
2025,1,1,1,24.06,0.0,3.93
2025,1,1,2,23.93,0.01,3.94
2025,1,1,3,23.83,0.02,3.99
2025,1,1,4,23.8,0.04,3.91
2025,1,1,5,23.81,0.1,3.87
2025,1,1,6,24.02,0.12,3.96
2025,1,1,7,25.08,0.57,3.78
2025,1,1,8,26.0,0.94,4.1
2025,1,1,9,26.88,1.04,4.28
2025,1,1,10,27.58,1.01,4.33
2025,1,1,11,28.07,0.93,4.27
2025,1,1,12,28.28,0.95,4.18
2025,1,1,13,28.28,1.11,4.08
2025,1,1,14,28.11,1.14,4.12
2025,1,1,15,27.7,1.36,4.3
2025,1,1,16,27.03,1.24,4.2
2025,1,1,17,26.29,0.65,4.03
2025,1,1,18,25.62,0.28,3.98
2025,1,1,19,25.41,0.14,3.91
2025,1,1,20,25.28,0.12,3.91
2025,1,1,21,25.17,0.15,3.78
2025,1,1,22,25.03,0.27,3.57
2025,1,1,23,24.9,0.72,3.5
2025,1,2,0,24.87,1.33,3.47
2025,1,2,1,24.88,1.61,3.57
2025,1,2,2,24.88,1.44,3.67
2025,1,2,3,24.85,1.12,3.74
2025,1,2,4,24.76,0.84,3.86
2025,1,2,5,24.67,0.77,3.98
2025,1,2,6,24.72,0.92,3.97
2025,1,2,7,25.25,0.79,3.71
2025,1,2,8,25.76,0.85,3.55
2025,1,2,9,26.19,0.8,3.62
2025,1,2,10,26.59,0.59,3.58
2025,1,2,11,26.95,0.44,3.56
2025,1,2,12,27.22,0.38,3.45
2025,1,2,13,27.41,0.31,3.35
2025,1,2,14,27.51,0.44,3.32
2025,1,2,15,27.45,0.37,3.32
2025,1,2,16,27.15,0.14,3.31
2025,1,2,17,26.49,0.09,3.6
2025,1,2,18,25.7,0.03,4.07
2025,1,2,19,25.4,0.02,4.47
2025,1,2,20,25.26,0.03,4.63
2025,1,2,21,25.14,0.04,4.41
2025,1,2,22,25.03,0.05,4.3
2025,1,2,23,24.95,0.07,4.18
2025,1,3,0,24.88,0.07,3.94
2025,1,3,1,24.78,0.07,3.69
2025,1,3,2,24.68,0.09,3.51
2025,1,3,3,24.57,0.08,3.35
2025,1,3,4,24.46,0.13,3.38
2025,1,3,5,24.29,0.21,3.48
2025,1,3,6,24.41,0.08,3.6
2025,1,3,7,25.63,2.36,3.47
2025,1,3,8,26.37,1.85,3.74
2025,1,3,9,27.13,1.48,3.95
2025,1,3,10,27.74,0.85,4.12
2025,1,3,11,28.06,0.48,4.28
2025,1,3,12,28.2,0.33,4.41
2025,1,3,13,28.22,0.64,4.48
2025,1,3,14,27.99,0.89,4.54
2025,1,3,15,27.57,1.54,4.69
2025,1,3,16,26.87,2.04,4.73
2025,1,3,17,26.06,1.94,4.76
2025,1,3,18,25.4,1.31,4.67
2025,1,3,19,25.23,0.9,4.86
2025,1,3,20,25.15,0.36,5.1
2025,1,3,21,25.09,0.3,5.35
2025,1,3,22,25.02,0.4,5.12
2025,1,3,23,24.92,0.73,4.72
2025,1,4,0,24.7,1.1,4.12
2025,1,4,1,24.48,1.63,3.75
2025,1,4,2,24.32,2.04,3.74
2025,1,4,3,24.23,2.56,3.67
2025,1,4,4,24.19,2.52,3.32
2025,1,4,5,24.23,2.65,3.07
2025,1,4,6,24.39,2.84,3.01
2025,1,4,7,25.29,3.99,2.9
2025,1,4,8,26.05,5.24,3.09
2025,1,4,9,26.75,6.73,3.34
2025,1,4,10,27.31,6.46,3.5
2025,1,4,11,27.63,8.35,3.67
2025,1,4,12,27.74,11.26,3.93
2025,1,4,13,27.67,13.57,4.1
2025,1,4,14,27.26,17.41,4.1
2025,1,4,15,26.78,22.07,4.01
2025,1,4,16,26.23,22.96,3.88
2025,1,4,17,25.66,22.35,3.95
2025,1,4,18,25.25,22.54,4.31
2025,1,4,19,25.08,17.03,4.65
2025,1,4,20,24.98,13.66,4.92
2025,1,4,21,24.9,10.16,5.04
2025,1,4,22,24.78,8.43,5.18
2025,1,4,23,24.66,9.15,5.14
2025,1,5,0,24.56,11.67,4.99
2025,1,5,1,24.48,13.44,4.81
2025,1,5,2,24.43,16.69,4.51
2025,1,5,3,24.43,17.71,4.38
2025,1,5,4,24.49,16.58,4.33
2025,1,5,5,24.52,14.8,4.54
2025,1,5,6,24.66,12.92,4.84
2025,1,5,7,25.32,4.89,4.8
2025,1,5,8,25.81,5.42,5.36
2025,1,5,9,26.35,4.1,5.85
2025,1,5,10,27.04,5.02,5.91
